year,geo,Traveller_characteristics,value
1999,Dawson,Canadian-resident visitors returning to Canada,752
1999,Dawson,Residents of countries other than the United States of America entering Canada,387
1999,Fraser,United States of America residents entering Canada,124725
1999,Little Gold Creek,United States of America residents entering Canada,14558
1999,Dawson,United States of America residents entering Canada,6683
1999,Old Crow,United States of America residents entering Canada,163
2003,Old Crow,Residents of countries other than the United States of America entering Canada,0
2003,Fraser,Residents of countries other than the United States of America entering Canada,10777
2003,Pleasant Camp,Canadian-resident visitors returning to Canada,9468
2003,Little Gold Creek,Canadian-resident visitors returning to Canada,2404
2003,Pleasant Camp,Residents of countries other than the United States of America entering Canada,2972
2003,Whitehorse,Residents of countries other than the United States of America entering Canada,4533
2003,Little Gold Creek,United States of America residents entering Canada,10650
2003,Old Crow,Canadian-resident visitors returning to Canada,8
2003,Old Crow,United States of America residents entering Canada,23
2003,Pleasant Camp,United States of America residents entering Canada,30745
2003,Whitehorse,Canadian-resident visitors returning to Canada,913
2003,Whitehorse,United States of America residents entering Canada,1836
2004,Beaver Creek,Residents of countries other than the United States of America entering Canada,5703
2004,Dawson,Residents of countries other than the United States of America entering Canada,637
2004,Beaver Creek,Canadian-resident visitors returning to Canada,11808
2004,Dawson,United States of America residents entering Canada,4819
2004,Beaver Creek,United States of America residents entering Canada,84157
2004,Fraser,Canadian-resident visitors returning to Canada,39001
2004,Dawson,Canadian-resident visitors returning to Canada,1251
2004,Fraser,Residents of countries other than the United States of America entering Canada,13451
2004,Little Gold Creek,Canadian-resident visitors returning to Canada,2387
2004,Pleasant Camp,United States of America residents entering Canada,28709
2004,Fraser,United States of America residents entering Canada,157664
2004,Pleasant Camp,Residents of countries other than the United States of America entering Canada,2943
2004,Little Gold Creek,United States of America residents entering Canada,7606
2004,Whitehorse,Canadian-resident visitors returning to Canada,1023
2004,Little Gold Creek,Residents of countries other than the United States of America entering Canada,4049
2004,Whitehorse,Residents of countries other than the United States of America entering Canada,4456
2004,Old Crow,Canadian-resident visitors returning to Canada,9
2004,Old Crow,Residents of countries other than the United States of America entering Canada,0
2004,Old Crow,United States of America residents entering Canada,14
2004,Pleasant Camp,Canadian-resident visitors returning to Canada,11332
2004,Whitehorse,United States of America residents entering Canada,1700
2005,Beaver Creek,Canadian-resident visitors returning to Canada,12119
2005,Dawson,Canadian-resident visitors returning to Canada,1184
2005,Dawson,Residents of countries other than the United States of America entering Canada,854
2005,Dawson,United States of America residents entering Canada,5871
2005,Beaver Creek,Residents of countries other than the United States of America entering Canada,5813
2005,Fraser,United States of America residents entering Canada,172009
2005,Fraser,Canadian-resident visitors returning to Canada,39384
2005,Fraser,Residents of countries other than the United States of America entering Canada,16354
2005,Beaver Creek,United States of America residents entering Canada,77506
2005,Little Gold Creek,Residents of countries other than the United States of America entering Canada,3938
2005,Pleasant Camp,United States of America residents entering Canada,28880
2005,Pleasant Camp,Residents of countries other than the United States of America entering Canada,3019
2005,Little Gold Creek,Canadian-resident visitors returning to Canada,2337
2005,Old Crow,Canadian-resident visitors returning to Canada,0
2005,Whitehorse,Canadian-resident visitors returning to Canada,973
2005,Whitehorse,Residents of countries other than the United States of America entering Canada,4489
2005,Little Gold Creek,United States of America residents entering Canada,8508
2005,Old Crow,Residents of countries other than the United States of America entering Canada,0
2005,Old Crow,United States of America residents entering Canada,34
2005,Pleasant Camp,Canadian-resident visitors returning to Canada,10781
2005,Whitehorse,United States of America residents entering Canada,1367
2019,Dawson,United States of America residents entering Canada,5560
2019,Dawson,Residents of countries other than the United States of America entering Canada,416
2019,Beaver Creek,Residents of countries other than the United States of America entering Canada,2654
2019,Beaver Creek,Canadian-resident visitors returning to Canada,11443
2019,Fraser,Canadian-resident visitors returning to Canada,66782
